aalib 1.4rc5-19
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
otf-geist-mono-nerd 3.4.0-1
otf-hasklig-nerd 3.4.0-1
otf-hermit-nerd 3.4.0-1
otf-monaspace-nerd 3.4.0-1
otf-opendyslexic-nerd 3.4.0-1
otf-overpass-nerd 3.4.0-1
outlook-for-linux-bin 1.3.13-1
p11-kit 0.25.10-2
pacman 7.1.0.r7.gb9f7d4a-1
pacman-mirrorlist 20251021-1
pam 1.7.1-1
pambase 20250719-1
pandoc-cli 3.5-2
pango 1:1.57.0-2
pangomm 2.46.4-1
patch 2.8-1
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.4.0-3
peg 0.1.19-1
perl 5.42.0-1
perl-alien-build 2.84-4
perl-alien-libxml2 0.20-5
perl-capture-tiny 0.50-4
perl-clone 0.47-2
perl-dbi 1.647-2
perl-error 0.17030-3
perl-ffi-checklib 0.31-8
perl-file-chdir 0.1011-6
perl-file-which 1.27-8
perl-mailtools 2.22-3
perl-path-tiny 0.150-2
perl-timedate 2.33-9
perl-xml-libxml 2.0210-4
perl-xml-namespacesupport 1.12-6
perl-xml-sax 1.02-2
perl-xml-sax-base 1.09-6
pinentry 1.3.2-2
pipewire 1:1.4.9-2
pipewire-audio 1:1.4.9-2
pipewire-pulse 1:1.4.9-2
pipewire-session-manager 1:1.4.9-2
pixman 0.46.4-1
pkgconf 2.5.1-1
plotutils 2.6-12
pnpm 10.25.0-1
polkit 127-1
polybar 3.7.2-2
poppler 25.12.0-1
poppler-data 0.4.12-2
poppler-glib 25.12.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
protobuf 33.1-1
psmisc 23.7-1
pstoedit-nomagick 4.02-1
pstoedit-nomagick-debug 4.02-1
python 3.13.11-1
python-attrs 25.4.0-1
python-autocommand 2.2.2-7
python-build 1.3.0-1
python-cairo 1.29.0-1
python-cffi 2.0.0-1
python-charset-normalizer 3.4.4-1
python-cryptography 46.0.3-1
python-dbus 1.4.0-1
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-filelock 3.20.0-2
python-gobject 3.54.5-1
python-idna 3.11-1
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-mako 1.3.10-1
python-markdown 3.10.0-1
python-markupsafe 3.0.2-1
python-more-itertools 10.8.0-1
python-packaging 25.0-1
python-pillow 12.0.0-2
python-pip 25.3-1
python-platformdirs 4.5.1-1
python-pycparser 2.23-1
python-pycups 2.0.4-3
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-3
python-pyqt5-sip 12.17.2-1
python-pywal 3.3.0-10
python-requests 2.32.5-1
python-setuptools 1:80.9.0-2
python-tqdm 4.67.1-3
python-urllib3 2.6.2-1
python-wheel 0.45.1-1
qpdf 12.2.0-1
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-location 5.15.18+kde+r7-2
qt5-remoteobjects 5.15.18-1
qt5-translations 5.15.18-1
qt5-webchannel 5.15.18+kde+r3-1
qt5-webengine 5.15.19-4
qt6-base 6.10.1-1
qt6-declarative 6.10.1-2
qt6-imageformats 6.10.1-1
qt6-svg 6.10.1-1
qt6-translations 6.10.1-1
qt6-wayland 6.10.1-1
range-v3 0.12.0-2
rav1e 0.8.1-2
rawtherapee 1:5.12-1
readline 8.3.003-1
rhash 1.4.6-1
ripgrep 15.1.0-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rsync 3.4.1-2
rtkit 0.14-1
rubberband 4.0.0-1
runc 1.4.0-1
rust 1:1.92.0-1
sane 1.4.0-1
sbc 2.1-1
sdl2-compat 2.32.60-1
sdl3 3.2.28-1
sed 4.9-3
semver 7.7.3-1
serd 0.32.6-1
shaderc 2025.5-1
shadow 4.18.0-1
shared-mime-info 2.4-2
simdjson 1:4.2.4-1
slack-desktop 4.46.101-1
slang 2.3.3-4
slop 7.7-2
snappy 1.2.2-2
sord 0.16.20-1
sound-theme-freedesktop 0.8-6
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.335.0-1
sqlite 3.51.1-1
